;Well;Fluor;Target;Content;Sample;Cq;SQ;
;A01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;28,49675005;;
;A02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,92162424;;
;A03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,31752012;;
;A04;FAM;Il6;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;25,34792087;;
;A05;FAM;Il8;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;36,56779714;;
;A06;FAM;Runx2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,42431697;;
;A07;FAM;Sparc;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;25,28087049;;
;A08;FAM;Spp1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;21,20646542;;
;A09;FAM;Sp7;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;37,81513623;;
;A10;FAM;Bmp2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;34,24319239;;
;A12;FAM;Sp7;NTC;NT;;;
;B01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;28,50906932;;
;B02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,64041886;;
;B03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,49495165;;
;B04;FAM;Il6;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;25,46489171;;
;B05;FAM;Il8;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;35,74870864;;
;B06;FAM;Runx2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,4262627;;
;B07;FAM;Sparc;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;25,30083966;;
;B08;FAM;Spp1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;21,19240016;;
;B09;FAM;Sp7;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;37,29596215;;
;B10;FAM;Bmp2;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;34,18818213;;
;B11;FAM;Pum1;NTC;NT;;;
;B12;FAM;Bmp2;NTC;NT;;;
;C01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;28,98870223;;
