;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,03;
;A02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,66;
;A03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,73;
;A04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;26,00;
;A05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;25,88;
;A06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;A07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;30,54;
;A08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,36;
;A09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;27,32;
;A10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;A11;FAM;Hprt1;Unkn;NT;;
;A12;FAM;Bmp4;Unkn;NT;;
;B01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;28,98;
;B02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,69;
;B03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,59;
;B04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;25,98;
;B05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;25,79;
;B06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;B07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;30,57;
;B08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,20;
;B09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;27,13;
;B10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;B11;FAM;Pum1;Unkn;NT;;
;B12;FAM;Il1-�;Unkn;NT;;
;C01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;28,83;
;C02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,12;
;C03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,30;
;C04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;26,14;
;C05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;26,00;
;C06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;C07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,26;
;C08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,84;
;C09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;26,98;
;C10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;C11;FAM;Tbp;Unkn;NT;;
