;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,46;
;A02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,47;
;A03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,32;
;A04;FAM;Col3a1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,29;
;A05;FAM;Col1a1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,60;
;A06;FAM;Tlr3;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,80;
;A07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,04;
;A08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,63;
;A09;FAM;Bmp4;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,92;
;A10;FAM;Il1-�;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;
;A11;FAM;Hprt1;NTC;NT;;
;A12;FAM;Bmp4;NTC;NT;;
;B01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,45;
;B02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,27;
;B03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,29;
;B04;FAM;Col3a1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,39;
;B05;FAM;Col1a1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,76;
;B06;FAM;Tlr3;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,88;
;B07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,15;
;B08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,61;
;B09;FAM;Bmp4;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,90;
;B10;FAM;Il1-�;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;
;B11;FAM;Pum1;NTC;NT;;
;B12;FAM;Il1-�;NTC;NT;;
;C01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,83;
;C02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,72;
;C03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,53;
;C04;FAM;Col3a1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,45;
;C05;FAM;Col1a1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,33;
;C06;FAM;Tlr3;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,05;
;C07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,32;
;C08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,93;
;C09;FAM;Bmp4;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,30;
;C10;FAM;Il1-�;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;
;C11;FAM;Tbp;NTC;NT;;
;D01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,88;
;D02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;33,02;
;D03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,50;
;D04;FAM;Col3a1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,43;
;D05;FAM;Col1a1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,44;
;D06;FAM;Tlr3;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,93;
;D07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;30,29;
;D08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,83;
;D09;FAM;Bmp4;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,08;
;D10;FAM;Il1-�;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;
;D11;FAM;Col3a1;NTC;NT;;
;E01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,46;
;E02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,77;
;E03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,34;
;E04;FAM;Col3a1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,20;
;E05;FAM;Col1a1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,86;
;E06;FAM;Tlr3;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,87;
;E07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,55;
;E08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,54;
;E09;FAM;Bmp4;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,75;
;E10;FAM;Il1-�;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;
;E11;FAM;Col1a1;NTC;NT;;
;F01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,67;
;F02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,24;
;F03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,17;
;F04;FAM;Col3a1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,28;
;F05;FAM;Col1a1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,87;
;F06;FAM;Tlr3;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,82;
;F07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,45;
;F08;FAM;Ifih-1/Mda5;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,58;
;F09;FAM;Bmp4;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,96;
;F10;FAM;Il1-�;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;
;F11;FAM;Tlr3;NTC;NT;;
;G01;FAM;Hprt1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;30,78;
;G02;FAM;Pum1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;34,96;
;G03;FAM;Tbp;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;35,14;
;G04;FAM;Col3a1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;33,67;
;G05;FAM;Col1a1;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;33,09;
;G06;FAM;Tlr3;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,46;
;G07;FAM;Ddx58/Rig-I;Unkn;7d WT 1µM control peptide + 100ng/ml polyIC Lyovec;31,61;
