;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,25;
;A02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;32,35;
;A03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;32,26;
;A04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,71;
;A05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;37,29;
;A06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;32,35;
;A07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;25,33;
;A08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;20,19;
;A09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;36,55;
;A10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;38,04;
;A11;FAM;Hprt1;NTC;NT;;
;A12;FAM;Sp7;NTC;NT;;
;B01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,22;
;B02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;32,18;
;B03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;32,30;
;B04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,12;
;B05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;36,38;
;B06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;32,34;
;B07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;25,38;
;B08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;20,15;
;B09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;39,23;
;B10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;37,29;
;B11;FAM;Pum1;NTC;NT;;
;B12;FAM;Bmp2;NTC;NT;;
;C01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,15;
;C02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;34,28;
;C03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,85;
;C04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;33,91;
;C05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;38,37;
;C06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,81;
