;Well;Fluor;Target;Content;Sample;Cq;SQ;
;A01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;A02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;A03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;A04;FAM;Il6;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;26,63960134;;
;A05;FAM;Il8;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;A06;FAM;Runx2;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;37,02166454;;
;A07;FAM;Sparc;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;33,75186042;;
;A08;FAM;Spp1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;27,61765362;;
;A09;FAM;Sp7;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;A10;FAM;Bmp2;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;A11;FAM;Hprt1;NTC;NT;;;
;A12;FAM;Sp7;NTC;NT;;;
;B01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;B02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;B03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;37,74938239;;
;B04;FAM;Il6;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;26,75125338;;
;B05;FAM;Il8;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;;;
;B06;FAM;Runx2;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;36,56244172;;
;B07;FAM;Sparc;Unkn;7d WT 1µM Pepinh-Trif + 3µg/ml polyIC;32,90089483;;
