;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,50;
;A09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A11;FAM;Hprt1;NTC;NT;;
;A12;FAM;Sp7;NTC;NT;;
;B01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;38,03;
;B08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,88;
;B09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B11;FAM;Pum1;NTC;NT;;
;B12;FAM;Bmp2;NTC;NT;;
;C01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;C02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;C03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;C04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;38,41;
;C05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;C06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;39,18;
;C07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;36,24;
;C08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,80;
;C09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;C10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;C11;FAM;Tbp;NTC;NT;;
;D01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;D02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;D03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;D04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;D05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;D06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;D07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;35,21;
;D08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,87;
;D09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;D10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;D11;FAM;Il6;NTC;NT;;
;E01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,05;
;E02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,67;
;E03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;32,05;
;E04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;35,15;
;E05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;38,02;
;E06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,35;
;E07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;23,30;
;E08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;22,37;
;E09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;35,45;
;E10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;37,40;
;E11;FAM;Il8;NTC;NT;;
;F01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,09;
;F02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,69;
;F03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;32,05;
;F04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;35,53;
;F05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;36,79;
;F06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,44;
;F07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;23,38;
;F08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;22,37;
;F09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;35,46;
;F10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;35,97;
;F11;FAM;Runx2;NTC;NT;;
;G01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,79;
;G02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,61;
;G03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;33,07;
;G04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;36,25;
;G05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;36,21;
;G06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,91;
;G07;FAM;Sparc;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;24,94;
;G08;FAM;Spp1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;22,55;
;G09;FAM;Sp7;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;37,71;
;G10;FAM;Bmp2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;37,04;
;G11;FAM;Sparc;NTC;NT;;
;H01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,92;
;H02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,52;
;H03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,96;
;H04;FAM;Il6;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;35,77;
;H05;FAM;Il8;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;37,03;
;H06;FAM;Runx2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,20;
;H07;FAM;Sparc;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;25,02;
;H08;FAM;Spp1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;22,59;
;H09;FAM;Sp7;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;37,03;
;H10;FAM;Bmp2;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;37,92;
;H11;FAM;Spp1;NTC;NT;;
