;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,23;
;A02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;32,99;
;A03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,26;
;A04;FAM;Col3a1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,64;
;A05;FAM;Col1a1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,24;
;A06;FAM;Tlr3;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,63;
;A08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;32,01;
;A09;FAM;Bmp4;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;32,09;
;A10;FAM;Il1-�;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;A11;FAM;Hprt1;NTC;NT;;
;A12;FAM;Bmp4;NTC;NT;;
;B01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,25;
;B02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,25;
;B03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,26;
;B04;FAM;Col3a1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,72;
;B05;FAM;Col1a1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,30;
;B06;FAM;Tlr3;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,65;
;B08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,87;
;B09;FAM;Bmp4;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;32,05;
;B10;FAM;Il1-�;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;B11;FAM;Pum1;NTC;NT;;
;B12;FAM;Il1-�;NTC;NT;;
;C01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;30,20;
;C02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;34,88;
;C03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;33,72;
;C04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;33,20;
;C05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,39;
;C06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;C07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;34,34;
;C08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;34,31;
;C09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;33,42;
;C10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;C11;FAM;Tbp;NTC;NT;;
;D01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;30,14;
;D02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;34,97;
;D03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;33,76;
;D04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;33,38;
;D05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,62;
;D06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;D07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;34,80;
;D08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;34,42;
