;Well;Fluor;Target;Content;Sample;Cq;SQ;
;A01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,93109284;;
;A02;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,81209765;;
;A03;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,75703484;;
;A04;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,75148642;;
;A05;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,96709313;;
;A06;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;28,85287947;;
;A07;FAM;Sparc;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;26,02045863;;
;A08;FAM;Spp1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;21,18926523;;
;A09;FAM;Sp7;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;A10;FAM;Bmp2;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;34,32442771;;
;A12;FAM;Sp7;NTC;NT;;;
;B01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,05537302;;
;B02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,28352438;;
;B03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,15543208;;
;B04;FAM;Il6;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;25,02052751;;
;B05;FAM;Il8;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;36,43931122;;
;B06;FAM;Runx2;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,38512231;;
;B07;FAM;Sparc;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;26,15398521;;
;B08;FAM;Spp1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;21,17685483;;
;B09;FAM;Sp7;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;B10;FAM;Bmp2;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;34,21873974;;
;B11;FAM;Pum1;NTC;NT;;;
;B12;FAM;Bmp2;NTC;NT;;;
;C01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,16251664;;
;C02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,74525015;;
;C03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,1281486;;
;C04;FAM;Il6;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;26,08506127;;
;C05;FAM;Il8;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;36,97186491;;
;C06;FAM;Runx2;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,86736469;;
;C07;FAM;Sparc;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;26,14301947;;
;C08;FAM;Spp1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;21,82552895;;
;C09;FAM;Sp7;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;39,57883734;;
;C10;FAM;Bmp2;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;35,26371474;;
;C11;FAM;Tbp;NTC;NT;;;
;C12;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,29224914;;
;D01;FAM;Hprt1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;29,29830455;;
;D02;FAM;Pum1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,37581136;;
;D03;FAM;Tbp;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;32,3539857;;
;D04;FAM;Il6;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;26,05736128;;
;D05;FAM;Il8;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;37,46285106;;
;D06;FAM;Runx2;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;31,76495547;;
;D07;FAM;Sparc;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;26,20307839;;
;D08;FAM;Spp1;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;21,84964783;;
;D09;FAM;Sp7;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;;;
;D10;FAM;Bmp2;Unkn;7d WT 1µM Pepinh-Trif + 100ng/ml poly IC Lyovec;35,39597471;;
;D11;FAM;Il6;NTC;NT;;;
