;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,93340416;
;A02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,16344961;
;A03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,85500521;
;A04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,9049538;
;A05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,40485335;
;A06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;A07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,31524422;
;A08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;33,09377846;
;A09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,71371307;
;A10;FAM;Il1-�;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;A11;FAM;Hprt1;NTC;NT;;
;A12;FAM;Bmp4;NTC;NT;;
;B01;FAM;Hprt1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,95336527;
;B02;FAM;Pum1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,21302484;
;B03;FAM;Tbp;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,69289491;
;B04;FAM;Col3a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;30,04549284;
;B05;FAM;Col1a1;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;29,50546641;
;B06;FAM;Tlr3;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;;
;B07;FAM;Ddx58/Rig-I;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;32,29592783;
;B08;FAM;Ifih-1/Mda5;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;33,56657061;
;B09;FAM;Bmp4;Unkn;7d JAX 1µM control peptide + 3µg/ml poly IC;31,54950909;
