;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,78;
;A02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,29;
;A03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,82;
;A04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,62;
;A05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;34,04;
;A06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,60;
;A07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;25,19;
;A08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;21,99;
;A09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;36,24;
;A10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;38,12;
;A11;FAM;Hprt1;Unkn;NT;;
;A12;FAM;Sp7;Unkn;NT;;
;B01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,62;
;B02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,79;
;B03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,22;
;B04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,58;
;B05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;34,79;
;B06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,40;
;B07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;25,10;
;B08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;21,87;
;B09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;36,04;
;B10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;37,84;
;B11;FAM;Pum1;Unkn;NT;;
;B12;FAM;Bmp2;Unkn;NT;;
;C01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,45;
;C02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,55;
;C03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,52;
;C04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,17;
;C05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;34,92;
;C06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,38;
;C07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;25,07;
;C08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;21,87;
;C09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;38,00;
;C10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;38,27;
;C11;FAM;Tbp;Unkn;NT;;
;D01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,50;
;D02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,40;
;D03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,36;
;D04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,17;
;D05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;35,39;
;D06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;31,63;
;D07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;25,13;
;D08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;21,79;
;D09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;36,82;
;D10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;;
;D11;FAM;Il6;Unkn;NT;;
;E01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;28,47;
;E02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,16;
;E03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,91;
;E04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,07;
;E05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,22;
;E06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,40;
;E07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;21,90;
;E08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;20,92;
;E09;FAM;Sp7;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,32;
;E10;FAM;Bmp2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;34,12;
;E11;FAM;Il8;Unkn;NT;;
;F01;FAM;Hprt1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;28,66;
;F02;FAM;Pum1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,39;
;F03;FAM;Tbp;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,88;
;F04;FAM;Il6;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;30,07;
;F05;FAM;Il8;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;33,60;
;F06;FAM;Runx2;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;29,44;
;F07;FAM;Sparc;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;22,01;
;F08;FAM;Spp1;Unkn;7d JAX 1µM Pepinh-Trif + 3µg/ml polyIC;21,05;
