;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;WT young control;;
;A02;FAM;Pum1;Unkn;WT young control;;
;A03;FAM;Tbp;Unkn;WT young control;;
;A04;FAM;Il6;Unkn;WT young control;;
;A05;FAM;Il8;Unkn;WT young control;;
;A06;FAM;Runx2;Unkn;WT young control;;
;A07;FAM;Sparc;Unkn;WT young control;;
;A08;FAM;Spp1;Unkn;WT young control;36,8877196;
;A09;FAM;Sp7;Unkn;WT young control;;
;A10;FAM;Bmp2;Unkn;WT young control;;
;A11;FAM;Tlr 3 Ex 5-6;Unkn;WT young control;;
;B01;FAM;Hprt1;Unkn;WT young control;;
;B02;FAM;Pum1;Unkn;WT young control;;
;B03;FAM;Tbp;Unkn;WT young control;;
;B04;FAM;Il6;Unkn;WT young control;;
;B05;FAM;Il8;Unkn;WT young control;;
;B06;FAM;Runx2;Unkn;WT young control;;
;B07;FAM;Sparc;Unkn;WT young control;;
;B08;FAM;Spp1;Unkn;WT young control;36,52631776;
;B09;FAM;Sp7;Unkn;WT young control;;
;B10;FAM;Bmp2;Unkn;WT young control;;
;B11;FAM;Tlr 3 Ex 5-6;Unkn;WT young control;;
;C01;FAM;Hprt1;Unkn;WT young 2.5 µg/ml polyIC;28,24441686;
;C02;FAM;Pum1;Unkn;WT young 2.5 µg/ml polyIC;31,54735632;
;C03;FAM;Tbp;Unkn;WT young 2.5 µg/ml polyIC;31,3606238;
;C04;FAM;Il6;Unkn;WT young 2.5 µg/ml polyIC;22,92375355;
;C05;FAM;Il8;Unkn;WT young 2.5 µg/ml polyIC;36,01695775;
;C06;FAM;Runx2;Unkn;WT young 2.5 µg/ml polyIC;31,01391994;
;C07;FAM;Sparc;Unkn;WT young 2.5 µg/ml polyIC;24,63409054;
;C08;FAM;Spp1;Unkn;WT young 2.5 µg/ml polyIC;21,50904908;
;C09;FAM;Sp7;Unkn;WT young 2.5 µg/ml polyIC;;
;C10;FAM;Bmp2;Unkn;WT young 2.5 µg/ml polyIC;32,91436498;
;C11;FAM;Tlr 3 Ex 5-6;Unkn;WT young 2.5 µg/ml polyIC;31,03959803;
;D01;FAM;Hprt1;Unkn;WT young 2.5 µg/ml polyIC;28,38471412;
;D02;FAM;Pum1;Unkn;WT young 2.5 µg/ml polyIC;31,73141599;
;D03;FAM;Tbp;Unkn;WT young 2.5 µg/ml polyIC;31,43106263;
;D04;FAM;Il6;Unkn;WT young 2.5 µg/ml polyIC;22,98751846;
;D05;FAM;Il8;Unkn;WT young 2.5 µg/ml polyIC;36,26777445;
;D06;FAM;Runx2;Unkn;WT young 2.5 µg/ml polyIC;30,73687841;
