;Well;Fluor;Target;Content;Sample;Cq;SQ
;A01;FAM;Hprt1;Unkn;WT young5nM CUCPT4a;28,25926805;
;A02;FAM;Pum1;Unkn;WT young5nM CUCPT4a;29,89534773;
;A03;FAM;Tbp;Unkn;WT young5nM CUCPT4a;30,55968011;
;A04;FAM;Il6;Unkn;WT young5nM CUCPT4a;33,40960357;
;A05;FAM;Il8;Unkn;WT young5nM CUCPT4a;36,07163935;
;A06;FAM;Runx2;Unkn;WT young5nM CUCPT4a;29,89957794;
;A07;FAM;Sparc;Unkn;WT young5nM CUCPT4a;22,54539442;
;A08;FAM;Spp1;Unkn;WT young5nM CUCPT4a;20,75079543;
;A09;FAM;Sp7;Unkn;WT young5nM CUCPT4a;35,07356185;
;A10;FAM;Bmp2;Unkn;WT young5nM CUCPT4a;34,90274201;
;A11;FAM;Tlr 3 Ex 5-6;Unkn;WT young5nM CUCPT4a;29,67827688;
;A12;FAM;Sp7;NTC;NT;;
;B01;FAM;Hprt1;Unkn;WT young5nM CUCPT4a;28,24196706;
;B02;FAM;Pum1;Unkn;WT young5nM CUCPT4a;29,95620255;
;B03;FAM;Tbp;Unkn;WT young5nM CUCPT4a;30,56269651;
;B04;FAM;Il6;Unkn;WT young5nM CUCPT4a;33,58821298;
;B05;FAM;Il8;Unkn;WT young5nM CUCPT4a;36,69138547;
;B06;FAM;Runx2;Unkn;WT young5nM CUCPT4a;29,82856561;
;B07;FAM;Sparc;Unkn;WT young5nM CUCPT4a;22,71812878;
;B08;FAM;Spp1;Unkn;WT young5nM CUCPT4a;20,72618811;
;B09;FAM;Sp7;Unkn;WT young5nM CUCPT4a;34,64127343;
;B10;FAM;Bmp2;Unkn;WT young5nM CUCPT4a;35,01193633;
;B11;FAM;Tlr 3 Ex 5-6;Unkn;WT young5nM CUCPT4a;29,56609666;
;B12;FAM;Bmp2;NTC;NT;;
;C01;FAM;Hprt1;Unkn;WT young 50nM CUCPT4a;28,10812509;
;C02;FAM;Pum1;Unkn;WT young 50nM CUCPT4a;29,96341667;
;C03;FAM;Tbp;Unkn;WT young 50nM CUCPT4a;30,55138687;
;C04;FAM;Il6;Unkn;WT young 50nM CUCPT4a;33,19173819;
;C05;FAM;Il8;Unkn;WT young 50nM CUCPT4a;35,47308777;
;C06;FAM;Runx2;Unkn;WT young 50nM CUCPT4a;30,06813766;
;C07;FAM;Sparc;Unkn;WT young 50nM CUCPT4a;22,5222523;
;C08;FAM;Spp1;Unkn;WT young 50nM CUCPT4a;20,74404633;
;C09;FAM;Sp7;Unkn;WT young 50nM CUCPT4a;34,42116841;
;C10;FAM;Bmp2;Unkn;WT young 50nM CUCPT4a;35,00859821;
;C11;FAM;Tlr 3 Ex 5-6;Unkn;WT young 50nM CUCPT4a;29,87247096;
;C12;FAM;Tlr 3 Ex 5-6;NTC;NT;;
;D01;FAM;Hprt1;Unkn;WT young 50nM CUCPT4a;28,15926901;
;D02;FAM;Pum1;Unkn;WT young 50nM CUCPT4a;29,85980811;
;D03;FAM;Tbp;Unkn;WT young 50nM CUCPT4a;30,60739068;
;D04;FAM;Il6;Unkn;WT young 50nM CUCPT4a;33,44927787;
;D05;FAM;Il8;Unkn;WT young 50nM CUCPT4a;35,5801762;
;D06;FAM;Runx2;Unkn;WT young 50nM CUCPT4a;29,97955232;
;D07;FAM;Sparc;Unkn;WT young 50nM CUCPT4a;22,53205209;
;D08;FAM;Spp1;Unkn;WT young 50nM CUCPT4a;20,63526518;
;D09;FAM;Sp7;Unkn;WT young 50nM CUCPT4a;35,10645358;
;D10;FAM;Bmp2;Unkn;WT young 50nM CUCPT4a;34,7266842;
;D11;FAM;Tlr 3 Ex 5-6;Unkn;WT young 50nM CUCPT4a;29,67710439;
;E01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;27,99430771;
;E02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;30,10625259;
;E03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;30,35233888;
;E04;FAM;Il6;Unkn;Leiden Tlr 3 -/- control;33,82057816;
;E05;FAM;Il8;Unkn;Leiden Tlr 3 -/- control;35,15665559;
;E06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- control;30,05791597;
;E07;FAM;Sparc;Unkn;Leiden Tlr 3 -/- control;22,50772036;
;E08;FAM;Spp1;Unkn;Leiden Tlr 3 -/- control;20,66488385;
;E09;FAM;Sp7;Unkn;Leiden Tlr 3 -/- control;35,14443975;
;E10;FAM;Bmp2;Unkn;Leiden Tlr 3 -/- control;35,86553447;
;E11;FAM;Tlr 3 Ex 5-6;Unkn;Leiden Tlr 3 -/- control;32,31057459;
;F01;FAM;Hprt1;Unkn;Leiden Tlr 3 -/- control;28,08440709;
;F02;FAM;Pum1;Unkn;Leiden Tlr 3 -/- control;30,17347869;
;F03;FAM;Tbp;Unkn;Leiden Tlr 3 -/- control;30,17690562;
;F04;FAM;Il6;Unkn;Leiden Tlr 3 -/- control;33,25834097;
;F05;FAM;Il8;Unkn;Leiden Tlr 3 -/- control;34,88099087;
;F06;FAM;Runx2;Unkn;Leiden Tlr 3 -/- control;30,224986;
